04-Feb-26 16:52:47 - Created loss log file ./logs/loss_log_20260204165247_.npy.npz
04-Feb-26 16:52:47 - Number of parquet files: 4741
04-Feb-26 16:52:47 - Train files: 3792
04-Feb-26 16:52:47 - Validation files: 949
04-Feb-26 16:52:47 - Loading training data...
04-Feb-26 16:52:47 - PyTorch version 2.5.1 available.
04-Feb-26 16:52:47 - TensorFlow version 2.18.0 available.
04-Feb-26 16:52:53 - Training samples: 21424800
04-Feb-26 16:52:53 - Loading validation data...
04-Feb-26 16:52:54 - Validation samples: 5361850
04-Feb-26 16:52:54 - Total training steps per epoch (estimated): 334762
04-Feb-26 16:52:55 - Running without torch.compile (more stable for training).
04-Feb-26 16:52:55 - Training model...
04-Feb-26 16:53:00 - Features shape: torch.Size([64, 4])
04-Feb-26 16:53:00 - Elevation shape: torch.Size([64, 750])
04-Feb-26 16:53:00 - Targets shape: torch.Size([64])
04-Feb-26 16:53:00 - Mask shape: torch.Size([64, 750])
04-Feb-26 16:53:00 - Preds shape: torch.Size([64])
04-Feb-26 20:49:45 - [Epoch=1 | Step=25600/334762] loss=12.4848
04-Feb-26 20:50:36 - [Epoch=1 | Step=25700/334762] loss=16.2906
04-Feb-26 20:51:28 - [Epoch=1 | Step=25800/334762] loss=13.1655
04-Feb-26 20:52:19 - [Epoch=1 | Step=25900/334762] loss=14.4011
04-Feb-26 20:53:11 - [Epoch=1 | Step=26000/334762] loss=16.0442
04-Feb-26 20:54:03 - [Epoch=1 | Step=26100/334762] loss=16.3429
04-Feb-26 20:54:54 - [Epoch=1 | Step=26200/334762] loss=14.4424
04-Feb-26 20:55:46 - [Epoch=1 | Step=26300/334762] loss=16.7835
04-Feb-26 20:56:37 - [Epoch=1 | Step=26400/334762] loss=16.6344
04-Feb-26 20:57:30 - [Epoch=1 | Step=26500/334762] loss=17.2780
04-Feb-26 20:58:21 - [Epoch=1 | Step=26600/334762] loss=14.4769
04-Feb-26 20:59:14 - [Epoch=1 | Step=26700/334762] loss=19.4376
04-Feb-26 21:00:05 - [Epoch=1 | Step=26800/334762] loss=17.1497
04-Feb-26 21:00:57 - [Epoch=1 | Step=26900/334762] loss=13.2701
04-Feb-26 21:01:49 - [Epoch=1 | Step=27000/334762] loss=15.9728
04-Feb-26 21:02:41 - [Epoch=1 | Step=27100/334762] loss=17.0660
04-Feb-26 21:03:33 - [Epoch=1 | Step=27200/334762] loss=10.9690
04-Feb-26 21:04:25 - [Epoch=1 | Step=27300/334762] loss=11.8176
04-Feb-26 21:05:16 - [Epoch=1 | Step=27400/334762] loss=13.4358
04-Feb-26 21:06:08 - [Epoch=1 | Step=27500/334762] loss=13.6432
04-Feb-26 21:07:00 - [Epoch=1 | Step=27600/334762] loss=12.5135
04-Feb-26 21:07:52 - [Epoch=1 | Step=27700/334762] loss=9.6623
04-Feb-26 21:08:43 - [Epoch=1 | Step=27800/334762] loss=12.7545
