21-Jan-26 10:16:54 - Created path loss file ./logs/loss_log_20260121101654_.npy.npz
21-Jan-26 10:16:56 - Training model...
21-Jan-26 10:17:08 - Total Steps = 84218
21-Jan-26 10:17:08 - Input Features Shape: torch.Size([30, 4])
21-Jan-26 10:17:08 - Elevation Data Shape: torch.Size([30, 768])
21-Jan-26 10:17:08 - Path Loss Shape: torch.Size([30])
21-Jan-26 10:17:08 - extra_features_tokens.shape torch.Size([30, 512])
21-Jan-26 10:17:08 - Elevation Data Shape: torch.Size([30, 768])
21-Jan-26 10:17:08 - pos_embedded_tokens.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - score.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - hidden1.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - pooled_score.shape torch.Size([30, 512])
21-Jan-26 10:17:08 - hidden2.shape torch.Size([30, 2000])
21-Jan-26 10:17:08 - logits.shape torch.Size([30, 1])
21-Jan-26 11:13:24 - [Epoch=1 | Step=15200/84218] loss=0.0406
21-Jan-26 11:13:46 - [Epoch=1 | Step=15300/84218] loss=0.1771
21-Jan-26 11:14:08 - [Epoch=1 | Step=15400/84218] loss=0.0572
21-Jan-26 11:14:31 - [Epoch=1 | Step=15500/84218] loss=0.0016
21-Jan-26 11:14:52 - [Epoch=1 | Step=15600/84218] loss=0.0024
21-Jan-26 11:15:14 - [Epoch=1 | Step=15700/84218] loss=0.0122
21-Jan-26 11:15:36 - [Epoch=1 | Step=15800/84218] loss=0.0000
21-Jan-26 11:15:59 - [Epoch=1 | Step=15900/84218] loss=0.0169
21-Jan-26 11:16:22 - [Epoch=1 | Step=16000/84218] loss=0.0007
21-Jan-26 11:16:45 - [Epoch=1 | Step=16100/84218] loss=0.0559
21-Jan-26 11:17:08 - [Epoch=1 | Step=16200/84218] loss=0.3701
21-Jan-26 11:17:31 - [Epoch=1 | Step=16300/84218] loss=0.0317
21-Jan-26 11:17:54 - [Epoch=1 | Step=16400/84218] loss=0.6672
21-Jan-26 11:18:16 - [Epoch=1 | Step=16500/84218] loss=0.3099
21-Jan-26 11:18:39 - [Epoch=1 | Step=16600/84218] loss=0.0356
21-Jan-26 11:19:02 - [Epoch=1 | Step=16700/84218] loss=0.0010
21-Jan-26 11:19:25 - [Epoch=1 | Step=16800/84218] loss=0.1712
21-Jan-26 11:19:48 - [Epoch=1 | Step=16900/84218] loss=0.0045
21-Jan-26 11:20:11 - [Epoch=1 | Step=17000/84218] loss=0.0003
21-Jan-26 11:20:34 - [Epoch=1 | Step=17100/84218] loss=0.0180
21-Jan-26 11:20:57 - [Epoch=1 | Step=17200/84218] loss=0.0000
21-Jan-26 11:21:20 - [Epoch=1 | Step=17300/84218] loss=0.0293
